cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
T0N,1,0.78096,0.75724,0.75724,0.14261,0.14261,0.0001,1,13.4
T0N,2,0.74289,0.73066,0.73066,0.14101,0.14261,0.0001,1,11.6
T0N,3,0.73001,0.73061,0.73061,0.13976,0.14261,0.0001,1,11.3
T0N,4,0.72055,0.71365,0.71365,0.14052,0.14261,0.0001,1,11.1
T0N,5,0.7122,0.70477,0.70477,0.14119,0.14261,0.0001,1,11.2
T0N,6,0.7045,0.69699,0.69699,0.14189,0.14261,0.0001,1,11.3
T0N,7,0.69613,0.68849,0.68849,0.14267,0.14267,0.0001,1,11.5
T0N,8,0.688,0.68019,0.68019,0.14303,0.14303,0.0001,1,11.7
T0N,9,0.68069,0.67436,0.67436,0.14318,0.14318,0.0001,1,11.9
T0N,10,0.67409,0.66756,0.66756,0.14216,0.14318,0.0001,1,11.9
T0N,11,0.6676,0.66165,0.66165,0.14148,0.14318,0.0001,1,11.7
T0N,12,0.66125,0.65557,0.65557,0.14062,0.14318,0.0001,1,11.5
T0N,13,0.65479,0.64995,0.64995,0.14035,0.14318,0.0001,1,11.5
T0N,14,0.64866,0.64376,0.64376,0.14287,0.14318,0.0001,1,11.5
T0N,15,0.64315,0.63994,0.63994,0.13984,0.14318,0.0001,1,11.6
T0N,16,0.637,0.63481,0.63481,0.14146,0.14318,0.0001,1,11.6
T0N,17,0.63125,0.62903,0.62903,0.1374,0.14318,0.0001,1,11.7
T0N,18,0.62578,0.62393,0.62393,0.14478,0.14478,0.0001,1,11.6
T0N,19,0.62087,0.61891,0.61891,0.14572,0.14572,0.0001,1,11.6
T0N,20,0.61473,0.61439,0.61439,0.14366,0.14572,0.0001,1,11.6
T0N,21,0.60914,0.61303,0.61303,0.14757,0.14757,0.0001,1,11.6
T0N,22,0.60365,0.60722,0.60722,0.14716,0.14757,0.0001,1,11.6
T0N,23,0.59789,0.60588,0.60588,0.14614,0.14757,0.0001,1,11.7
T0N,24,0.59346,0.59936,0.59936,0.15431,0.15431,0.0001,1,11.7
T0N,25,0.58727,0.60118,0.59936,0.15616,0.15616,0.0001,0,11.6
T0N,26,0.58114,0.59663,0.59663,0.15715,0.15715,0.0001,1,11.7
T0N,27,0.57671,0.60319,0.59663,0.15294,0.15715,0.0001,0,11.6
T0N,28,0.57062,0.59136,0.59136,0.15586,0.15715,0.0001,1,11.7
T0N,29,0.56232,0.58614,0.58614,0.16068,0.16068,0.0001,1,11.8
T0N,30,0.56496,0.58147,0.58147,0.15808,0.16068,0.0001,1,11.7
T0N,31,0.56374,0.58088,0.58088,0.1425,0.16068,0.0001,1,11.7
T0N,32,0.5567,0.57993,0.57993,0.16401,0.16401,0.0001,1,11.8
T0N,33,0.54822,0.57998,0.57993,0.16582,0.16582,0.0001,0,11.7
T0N,34,0.53765,0.57928,0.57928,0.17979,0.17979,0.0001,1,11.8
T0N,35,0.52907,0.5663,0.5663,0.18323,0.18323,0.0001,1,11.7
T0N,36,0.52208,0.56395,0.56395,0.18497,0.18497,0.0001,1,11.8
T0N,37,0.5137,0.56428,0.56395,0.17399,0.18497,0.0001,0,11.7
T0N,38,0.51641,0.57588,0.56395,0.18328,0.18497,0.0001,0,11.7
T0N,39,0.50532,0.56531,0.56395,0.20183,0.20183,0.0001,0,11.7
T0N,40,0.49691,0.56687,0.56395,0.19683,0.20183,0.0001,0,11.7
T0N,41,0.48488,0.55117,0.55117,0.21938,0.21938,0.0001,1,11.8
