cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TA,1,2.66367,2.5417,2.5417,0.15349,0.15349,0.0001,1,13.2
TA,2,2.46821,2.3817,2.3817,0.14998,0.15349,0.0001,1,13.7
TA,3,2.37614,2.35733,2.35733,0.15131,0.15349,0.0001,1,13.0
TA,4,2.31771,2.35767,2.35733,0.15175,0.15349,0.0001,0,12.8
TA,5,2.28173,2.26056,2.26056,0.15176,0.15349,0.0001,1,12.8
TA,6,2.25323,2.28225,2.26056,0.15358,0.15358,0.0001,0,12.4
TA,7,2.2203,2.22973,2.22973,0.15838,0.15838,0.0001,1,12.4
TA,8,2.17706,2.19049,2.19049,0.15531,0.15838,0.0001,1,12.3
TA,9,2.14204,2.12803,2.12803,0.15472,0.15838,0.0001,1,12.3
TA,10,2.10096,2.14721,2.12803,0.1622,0.1622,0.0001,0,12.0
TA,11,2.0634,2.06287,2.06287,0.16385,0.16385,0.0001,1,12.1
TA,12,2.03429,2.057,2.057,0.16569,0.16569,0.0001,1,12.1
TA,13,1.99952,2.0151,2.0151,0.16908,0.16908,0.0001,1,12.1
TA,14,1.96451,1.98409,1.98409,0.17069,0.17069,0.0001,1,12.1
TA,15,1.93851,1.97507,1.97507,0.17704,0.17704,0.0001,1,12.1
TA,16,1.90643,2.17463,1.97507,0.20047,0.20047,0.0001,0,12.0
TA,17,1.87811,2.19115,1.97507,0.20166,0.20166,0.0001,0,12.1
TA,18,1.87766,1.92851,1.92851,0.18483,0.20166,0.0001,1,12.1
TA,19,1.82598,1.86206,1.86206,0.18273,0.20166,0.0001,1,12.0
TA,20,1.78448,1.94158,1.86206,0.20602,0.20602,0.0001,0,12.0
TA,21,1.73659,2.47408,1.86206,0.22474,0.22474,0.0001,0,12.1
TA,22,1.7223,1.8547,1.8547,0.22216,0.22474,0.0001,1,12.1
TA,23,1.66008,1.96981,1.8547,0.23113,0.23113,0.0001,0,12.0
TA,24,1.62826,1.88095,1.8547,0.20738,0.23113,0.0001,0,12.0
TA,25,1.60899,1.77167,1.77167,0.1888,0.23113,0.0001,1,12.0
TA,26,1.5957,1.82275,1.77167,0.14754,0.23113,0.0001,0,11.9
TA,27,1.5367,1.71862,1.71862,0.23499,0.23499,0.0001,1,12.1
TA,28,1.48321,1.70512,1.70512,0.2172,0.23499,0.0001,1,12.1
TA,29,1.45552,1.76778,1.70512,0.18886,0.23499,0.0001,0,11.9
TA,30,1.42746,1.7404,1.70512,0.18157,0.23499,0.0001,0,11.9
TA,31,1.41313,1.69769,1.69769,0.19697,0.23499,0.0001,1,12.0
TA,32,1.37782,1.6987,1.69769,0.23321,0.23499,0.0001,0,12.0
TA,33,1.39046,1.66904,1.66904,0.22073,0.23499,0.0001,1,12.0
TA,34,1.34313,1.73994,1.66904,0.21073,0.23499,0.0001,0,11.9
TA,35,1.31935,1.76301,1.66904,0.18283,0.23499,0.0001,0,11.9
TA,36,1.29215,1.70231,1.66904,0.17945,0.23499,0.0001,0,11.8
TA,37,1.28572,1.73206,1.66904,0.16847,0.23499,0.0001,0,11.9
TA,38,1.22853,1.67379,1.66904,0.20843,0.23499,0.0001,0,11.9
TA,39,1.20875,1.72263,1.66904,0.16621,0.23499,1e-05,0,11.9
TA,40,1.16055,1.65596,1.65596,0.21165,0.23499,1e-05,1,12.0
TA,41,1.14266,1.67561,1.65596,0.20441,0.23499,1e-05,0,11.9
TA,42,1.12552,1.67631,1.65596,0.20251,0.23499,1e-05,0,11.9
TA,43,1.11271,1.6783,1.65596,0.2016,0.23499,1e-05,0,11.9
TA,44,1.10139,1.67521,1.65596,0.20251,0.23499,1e-05,0,11.8
TA,45,1.09121,1.66943,1.65596,0.20527,0.23499,1e-05,0,11.9
TA,46,1.08149,1.66633,1.65596,0.20717,0.23499,1.0000000000000002e-06,0,11.9
TA,47,1.0709,1.6671,1.65596,0.20593,0.23499,1.0000000000000002e-06,0,11.9
TA,48,1.0696,1.66641,1.65596,0.20558,0.23499,1.0000000000000002e-06,0,11.8
TA,49,1.0685,1.66629,1.65596,0.20526,0.23499,1.0000000000000002e-06,0,11.8
TA,50,1.0676,1.66578,1.65596,0.20537,0.23499,1.0000000000000002e-06,0,11.9
TA,51,1.06671,1.66693,1.65596,0.20515,0.23499,1.0000000000000002e-06,0,11.8
TA,52,1.06583,1.66675,1.65596,0.20524,0.23499,1.0000000000000002e-07,0,11.9
TA,53,1.06464,1.66704,1.65596,0.20503,0.23499,1.0000000000000002e-07,0,11.8
TA,54,1.06453,1.66707,1.65596,0.20501,0.23499,1.0000000000000002e-07,0,11.8
TA,55,1.06445,1.6671,1.65596,0.20498,0.23499,1.0000000000000002e-07,0,11.8
TA,56,1.06436,1.66693,1.65596,0.20504,0.23499,1.0000000000000002e-07,0,11.8
TA,57,1.06428,1.66697,1.65596,0.205,0.23499,1.0000000000000002e-07,0,11.8
TA,58,1.06418,1.66666,1.65596,0.20519,0.23499,1.0000000000000004e-08,0,11.9
TA,59,1.06405,1.66672,1.65596,0.20515,0.23499,1.0000000000000004e-08,0,11.9
TA,60,1.06405,1.66673,1.65596,0.20515,0.23499,1.0000000000000004e-08,0,11.8
TA,61,1.06403,1.66677,1.65596,0.20513,0.23499,1.0000000000000004e-08,0,11.9
TA,62,1.06403,1.66677,1.65596,0.20513,0.23499,1.0000000000000004e-08,0,11.9
TA,63,1.06402,1.66677,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.9
TA,64,1.06402,1.66678,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.9
TA,65,1.06401,1.66678,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.8
TA,66,1.06401,1.66678,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.8
TA,67,1.064,1.66682,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.8
TA,68,1.064,1.66682,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.8
TA,69,1.06399,1.6668,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.8
TA,70,1.06398,1.66681,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.9
TA,71,1.06397,1.66677,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.8
TA,72,1.06396,1.66673,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.8
TA,73,1.06395,1.66675,1.65596,0.2051,0.23499,1.0000000000000004e-08,0,11.8
TA,74,1.06394,1.66675,1.65596,0.20509,0.23499,1.0000000000000004e-08,0,11.8
TA,75,1.06392,1.66661,1.65596,0.20517,0.23499,1.0000000000000004e-08,0,11.9
TA,76,1.06392,1.66662,1.65596,0.20517,0.23499,1.0000000000000004e-08,0,11.8
TA,77,1.06391,1.66662,1.65596,0.20517,0.23499,1.0000000000000004e-08,0,11.9
TA,78,1.0639,1.6666,1.65596,0.20519,0.23499,1.0000000000000004e-08,0,11.9
TA,79,1.06389,1.66661,1.65596,0.20518,0.23499,1.0000000000000004e-08,0,11.8
TA,80,1.06389,1.66662,1.65596,0.20517,0.23499,1.0000000000000004e-08,0,11.8
TA,81,1.06389,1.66663,1.65596,0.20516,0.23499,1.0000000000000004e-08,0,11.9
TA,82,1.06387,1.66662,1.65596,0.20516,0.23499,1.0000000000000004e-08,0,11.8
TA,83,1.06386,1.66663,1.65596,0.20515,0.23499,1.0000000000000004e-08,0,11.9
TA,84,1.06385,1.66667,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.8
TA,85,1.06387,1.6667,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.9
TA,86,1.06386,1.66666,1.65596,0.20512,0.23499,1.0000000000000004e-08,0,11.8
TA,87,1.06385,1.66669,1.65596,0.2051,0.23499,1.0000000000000004e-08,0,11.8
TA,88,1.06385,1.66671,1.65596,0.20509,0.23499,1.0000000000000004e-08,0,11.8
TA,89,1.06384,1.66668,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.9
TA,90,1.06383,1.66668,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.9
TA,91,1.06382,1.6667,1.65596,0.2051,0.23499,1.0000000000000004e-08,0,11.9
TA,92,1.06381,1.66663,1.65596,0.20511,0.23499,1.0000000000000004e-08,0,11.9
