cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TB,1,5.28172,4.89698,4.89698,0.14366,0.14366,0.0001,1,13.3
TB,2,4.71835,4.57239,4.57239,0.14246,0.14366,0.0001,1,13.3
TB,3,4.48074,4.46118,4.46118,0.14157,0.14366,0.0001,1,12.5
TB,4,4.33752,4.31156,4.31156,0.14018,0.14366,0.0001,1,12.4
TB,5,4.24916,4.22418,4.22418,0.1403,0.14366,0.0001,1,12.1
TB,6,4.16896,4.15146,4.15146,0.13923,0.14366,0.0001,1,12.0
TB,7,4.0874,4.06896,4.06896,0.13692,0.14366,0.0001,1,12.0
TB,8,4.0167,4.00412,4.00412,0.13571,0.14366,0.0001,1,11.7
TB,9,3.93446,3.91333,3.91333,0.13233,0.14366,0.0001,1,11.7
TB,10,3.8385,3.82831,3.82831,0.13291,0.14366,0.0001,1,11.7
TB,11,3.74799,3.74157,3.74157,0.13274,0.14366,0.0001,1,11.6
TB,12,3.66314,3.66249,3.66249,0.13339,0.14366,0.0001,1,11.7
TB,13,3.58836,3.58772,3.58772,0.13261,0.14366,0.0001,1,11.7
TB,14,3.51523,3.51816,3.51816,0.1343,0.14366,0.0001,1,11.7
TB,15,3.44743,3.45658,3.45658,0.13496,0.14366,0.0001,1,11.7
TB,16,3.37372,3.39768,3.39768,0.13489,0.14366,0.0001,1,11.7
TB,17,3.30852,3.32948,3.32948,0.13407,0.14366,0.0001,1,11.7
TB,18,3.24589,3.27753,3.27753,0.13288,0.14366,0.0001,1,11.7
TB,19,3.18841,3.22846,3.22846,0.13383,0.14366,0.0001,1,11.7
TB,20,3.13515,3.17934,3.17934,0.13291,0.14366,0.0001,1,11.7
TB,21,3.0807,3.12297,3.12297,0.1322,0.14366,0.0001,1,11.7
TB,22,3.03037,3.07169,3.07169,0.13174,0.14366,0.0001,1,11.7
TB,23,2.98598,3.03424,3.03424,0.13203,0.14366,0.0001,1,11.7
TB,24,2.94042,2.9908,2.9908,0.13329,0.14366,0.0001,1,11.7
