cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TC,1,0.84805,0.82057,0.82057,0.2433,0.17256,0.83822,0.35495,0.01733,0.2433,0.0001,1,13.8
TC,2,0.82389,0.80852,0.80852,0.2513,0.1826,0.81548,0.33007,0.01936,0.2513,0.0001,1,12.8
TC,3,0.81199,0.81798,0.80852,0.25224,0.18864,0.76906,0.31061,0.02218,0.25224,0.0001,0,12.5
TC,4,0.8067,0.79748,0.79748,0.25434,0.19415,0.75392,0.29913,0.02356,0.25434,0.0001,1,12.9
TC,5,0.80114,0.79125,0.79125,0.25337,0.20063,0.73308,0.29117,0.0252,0.25434,0.0001,1,13.0
TC,6,0.79745,0.78789,0.78789,0.24619,0.22151,0.55142,0.16715,0.04537,0.25434,0.0001,1,13.0
TC,7,0.79335,0.78403,0.78403,0.23221,0.22734,0.45682,0.12119,0.05337,0.25434,0.0001,1,12.5
TC,8,0.78925,0.7794,0.7794,0.21697,0.23747,0.409,0.10288,0.05898,0.25434,0.0001,1,12.3
TC,9,0.78573,0.79492,0.7794,0.22148,0.25649,0.41904,0.10414,0.05871,0.25434,0.0001,0,12.0
TC,10,0.78057,0.77015,0.77015,0.21784,0.26337,0.4155,0.10289,0.05899,0.25434,0.0001,1,12.1
TC,11,0.77556,0.76671,0.76671,0.22949,0.25734,0.4507,0.10967,0.05702,0.25434,0.0001,1,12.3
TC,12,0.77134,0.76326,0.76326,0.22815,0.23768,0.4497,0.12032,0.05563,0.25434,0.0001,1,12.4
TC,13,0.7674,0.7612,0.7612,0.23006,0.2482,0.47285,0.13024,0.05448,0.25434,0.0001,1,12.4
TC,14,0.7629,0.75448,0.75448,0.21984,0.24315,0.42077,0.09941,0.06105,0.25434,0.0001,1,12.3
TC,15,0.75769,0.75081,0.75081,0.19296,0.26026,0.36406,0.08332,0.06488,0.25434,0.0001,1,12.2
TC,16,0.75364,0.74943,0.74943,0.19023,0.23556,0.32322,0.07746,0.06693,0.25434,0.0001,1,12.2
TC,17,0.74919,0.74219,0.74219,0.23662,0.26186,0.45567,0.10679,0.05714,0.25434,0.0001,1,12.2
TC,18,0.74472,0.73876,0.73876,0.26274,0.25855,0.5602,0.13473,0.05006,0.26274,0.0001,1,12.3
TC,19,0.7397,0.73186,0.73186,0.26215,0.28932,0.5216,0.11231,0.05293,0.26274,0.0001,1,12.2
TC,20,0.7369,0.72808,0.72808,0.27233,0.25941,0.56398,0.12769,0.04956,0.27233,0.0001,1,12.2
TC,21,0.72985,0.72749,0.72749,0.27864,0.28166,0.56344,0.12441,0.04964,0.27864,0.0001,1,12.3
TC,22,0.72388,0.72911,0.72749,0.25583,0.27144,0.48083,0.10638,0.05416,0.27864,0.0001,0,12.2
TC,23,0.71991,0.72184,0.72184,0.29104,0.28924,0.55062,0.1175,0.04832,0.29104,0.0001,1,12.2
TC,24,0.71031,0.71383,0.71383,0.28367,0.30096,0.56715,0.12261,0.04781,0.29104,0.0001,1,12.2
TC,25,0.70218,0.70791,0.70791,0.32067,0.29467,0.6256,0.12852,0.043,0.32067,0.0001,1,12.2
TC,26,0.69607,0.7085,0.70791,0.26579,0.2995,0.50185,0.11164,0.05221,0.32067,0.0001,0,12.0
TC,27,0.69201,0.70058,0.70058,0.25767,0.27941,0.52482,0.1153,0.04753,0.32067,0.0001,1,12.1
TC,28,0.6832,0.77653,0.70058,0.30286,0.25298,0.7582,0.21341,0.02853,0.32067,0.0001,0,12.1
