cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TD,1,0.8397,0.81589,0.81589,0.24618,0.19471,0.64923,0.22305,0.03796,0.24618,0.0001,1,12.6
TD,2,0.82271,0.80759,0.80759,0.24624,0.18533,0.72838,0.26058,0.0318,0.24624,0.0001,1,12.5
TD,3,0.81425,0.80226,0.80226,0.25262,0.19518,0.66487,0.21627,0.03599,0.25262,0.0001,1,12.5
TD,4,0.80737,0.7974,0.7974,0.24479,0.22352,0.50347,0.14149,0.05074,0.25262,0.0001,1,12.4
TD,5,0.80242,0.79221,0.79221,0.24054,0.23536,0.46224,0.12086,0.05434,0.25262,0.0001,1,12.2
TD,6,0.79879,0.78934,0.78934,0.24103,0.24087,0.46089,0.11942,0.05505,0.25262,0.0001,1,12.2
TD,7,0.79583,0.78991,0.78934,0.24166,0.21175,0.52196,0.15722,0.04793,0.25262,0.0001,0,12.1
TD,8,0.793,0.78478,0.78478,0.21867,0.22596,0.40357,0.10609,0.05994,0.25262,0.0001,1,12.2
TD,9,0.78683,0.77674,0.77674,0.21296,0.23967,0.39101,0.09812,0.06207,0.25262,0.0001,1,12.2
TD,10,0.78133,0.77271,0.77271,0.21053,0.22883,0.3838,0.09401,0.0629,0.25262,0.0001,1,12.1
TD,11,0.77632,0.76694,0.76694,0.21624,0.23932,0.39945,0.1004,0.06104,0.25262,0.0001,1,12.4
TD,12,0.77146,0.76211,0.76211,0.21168,0.22859,0.38355,0.09545,0.06243,0.25262,0.0001,1,12.1
TD,13,0.76654,0.75828,0.75828,0.22163,0.23076,0.41438,0.10299,0.06023,0.25262,0.0001,1,12.1
TD,14,0.76227,0.75295,0.75295,0.24566,0.26222,0.4644,0.10828,0.05747,0.25262,0.0001,1,12.2
TD,15,0.75819,0.74998,0.74998,0.23163,0.24755,0.43928,0.1008,0.06003,0.25262,0.0001,1,12.2
TD,16,0.75303,0.74471,0.74471,0.28024,0.25086,0.57819,0.12873,0.0491,0.28024,0.0001,1,12.2
TD,17,0.74963,0.74301,0.74301,0.23999,0.25382,0.47336,0.11857,0.05513,0.28024,0.0001,1,12.2
TD,18,0.74482,0.73447,0.73447,0.29662,0.26895,0.5821,0.11871,0.05009,0.29662,0.0001,1,12.2
TD,19,0.73866,0.73453,0.73447,0.28922,0.27075,0.57605,0.13092,0.0497,0.29662,0.0001,0,12.1
TD,20,0.73486,0.72156,0.72156,0.29969,0.30633,0.51471,0.08415,0.05694,0.29969,0.0001,1,12.1
TD,21,0.72846,0.71768,0.71768,0.32632,0.3118,0.60625,0.09305,0.05254,0.32632,0.0001,1,12.2
TD,22,0.72077,0.71043,0.71043,0.3341,0.31056,0.61616,0.09987,0.04886,0.3341,0.0001,1,12.2
TD,23,0.71379,0.71545,0.71043,0.32813,0.28626,0.69152,0.13091,0.04122,0.3341,0.0001,0,12.0
TD,24,0.70662,0.7286,0.71043,0.32919,0.27548,0.74976,0.15395,0.0363,0.3341,0.0001,0,12.1
TD,25,0.69843,0.70003,0.70003,0.28737,0.29607,0.44027,0.07463,0.05463,0.3341,0.0001,1,12.1
TD,26,0.69793,0.72054,0.70003,0.28555,0.23465,0.66091,0.15886,0.0419,0.3341,0.0001,0,12.1
TD,27,0.68591,0.70004,0.70003,0.25948,0.32561,0.39696,0.05257,0.06453,0.3341,0.0001,0,11.9
TD,28,0.67476,0.70781,0.70003,0.20005,0.31117,0.24138,0.02034,0.0745,0.3341,0.0001,0,11.9
TD,29,0.66225,0.68895,0.68895,0.26458,0.32345,0.41129,0.05507,0.0603,0.3341,0.0001,1,12.0
TD,30,0.64855,0.69533,0.68895,0.21511,0.28775,0.32293,0.03563,0.06865,0.3341,0.0001,0,12.0
TD,31,0.64421,0.6841,0.6841,0.27402,0.36139,0.42475,0.05127,0.06343,0.3341,0.0001,1,12.1
TD,32,0.64032,0.70659,0.6841,0.33259,0.28828,0.72781,0.14313,0.03843,0.3341,0.0001,0,12.0
TD,33,0.62982,0.67939,0.67939,0.29351,0.43337,0.47299,0.06298,0.05982,0.3341,0.0001,1,12.1
TD,34,0.61522,0.6641,0.6641,0.32663,0.39251,0.5118,0.06262,0.05606,0.3341,0.0001,1,12.1
TD,35,0.60356,0.6739,0.6641,0.24529,0.3005,0.35567,0.03697,0.06554,0.3341,0.0001,0,11.9
TD,36,0.59826,0.66037,0.66037,0.30771,0.35541,0.50893,0.07224,0.05371,0.3341,0.0001,1,12.1
TD,37,0.58207,0.67481,0.66037,0.31974,0.31487,0.58989,0.09222,0.04891,0.3341,0.0001,0,12.0
TD,38,0.57644,0.663,0.66037,0.34821,0.35699,0.60236,0.08309,0.05208,0.34821,0.0001,0,12.0
TD,39,0.56898,0.6844,0.66037,0.31766,0.30801,0.65239,0.12485,0.04232,0.34821,0.0001,0,12.0
TD,40,0.54998,0.68695,0.66037,0.33672,0.31397,0.68274,0.12256,0.03955,0.34821,0.0001,0,12.0
TD,41,0.52475,0.65794,0.65794,0.31218,0.35095,0.48996,0.0626,0.05729,0.34821,0.0001,1,12.1
TD,42,0.51138,0.70141,0.65794,0.33668,0.30948,0.68203,0.11886,0.04633,0.34821,0.0001,0,12.0
TD,43,0.50163,0.6746,0.65794,0.30606,0.33148,0.55269,0.09201,0.05013,0.34821,0.0001,0,12.0
TD,44,0.49602,0.66706,0.65794,0.31899,0.33359,0.54266,0.07406,0.05364,0.34821,0.0001,0,12.0
TD,45,0.47667,0.67601,0.65794,0.33384,0.30575,0.66283,0.10705,0.04323,0.34821,0.0001,0,12.0
TD,46,0.45058,0.65991,0.65794,0.27726,0.38747,0.44672,0.06053,0.06067,0.34821,0.0001,0,12.0
TD,47,0.43817,0.67839,0.65794,0.35119,0.3185,0.65235,0.10013,0.04654,0.35119,1e-05,0,12.0
TD,48,0.41867,0.65367,0.65367,0.2862,0.33636,0.3985,0.03934,0.06693,0.35119,1e-05,1,12.0
TD,49,0.39984,0.64702,0.64702,0.29702,0.32709,0.40333,0.03828,0.06613,0.35119,1e-05,1,12.1
TD,50,0.39236,0.64784,0.64702,0.29724,0.32654,0.40418,0.03832,0.06617,0.35119,1e-05,0,11.9
TD,51,0.38717,0.64673,0.64673,0.30003,0.33274,0.40595,0.03765,0.06602,0.35119,1e-05,1,12.0
TD,52,0.38282,0.64637,0.64637,0.30093,0.33276,0.40703,0.03775,0.06569,0.35119,1e-05,1,12.0
TD,53,0.37894,0.64721,0.64637,0.29857,0.33653,0.4018,0.03699,0.06589,0.35119,1e-05,0,11.9
TD,54,0.37451,0.64552,0.64552,0.30113,0.34195,0.40286,0.03625,0.06572,0.35119,1e-05,1,12.1
TD,55,0.37079,0.64768,0.64552,0.29407,0.36336,0.39307,0.0353,0.06635,0.35119,1e-05,0,11.9
TD,56,0.36682,0.6456,0.64552,0.301,0.37178,0.3974,0.03506,0.06618,0.35119,1e-05,0,11.9
